"id","date","focal.depth","magnitude","intensity","country","location.name","latitude","longitude","casualties","property.damage","factor"
4788,1978-01-14,14,6.6,5,"JAPAN","JAPAN:  TOKKAIDO, OSHIMA",34.809,139.259,154,629,"[6,7)"
4789,1978-02-09,33,7.7,NA,"KERMADEC ISLANDS (NEW ZEALAND)","KERMADEC ISLANDS:  S OF",-30.68,-177.36,NA,NA,"[7,8)"
4791,1978-02-20,60,6.1,8,"JAPAN","JAPAN:  OFUNATO, TOHOKU",38.78,141.95,NA,NA,"[6,7)"
4792,1978-03-11,33,5,NA,"ITALY","ITALY:  SICILY",38.1,16.03,NA,NA,"[5,6)"
4794,1978-03-16,33,5.9,2,"PAKISTAN","PAKISTAN:  QUETTA, NUSHKI",29.926,66.302,NA,NA,"[5,6)"
4795,1978-03-19,36,6.6,NA,"MEXICO","MEXICO:  ACAPULCO",17.03,-99.74,NA,NA,"[6,7)"
6599,1978-03-22,33,6.7,4,"RUSSIA","RUSSIA:  KURIL ISLANDS",44.026,149.002,NA,NA,"[6,7)"
6799,1978-03-22,33,6.6,5,"RUSSIA","RUSSIA:  KURIL ISLANDS",44.14,149.029,NA,NA,"[6,7)"
4796,1978-03-23,46,6.8,5,"RUSSIA","RUSSIA:  KURIL ISLANDS",44.209,148.971,NA,NA,"[6,7)"
4797,1978-03-23,33,7.5,6,"RUSSIA","RUSSIA:  KURIL ISLANDS",44.932,148.439,NA,NA,"[7,8)"
4798,1978-03-24,33,7.6,6,"RUSSIA","RUSSIA:  KURIL ISLANDS",44.244,148.862,NA,NA,"[7,8)"
4799,1978-03-24,33,7.1,8,"KAZAKHSTAN","KAZAKHSTAN:  ALMA-ATA",42.839,78.606,NA,NA,"[7,8)"
4800,1978-04-13,33,5.7,NA,"SERBIA AND MONTENEGRO","BALKANS NW:  SERBIA:  BRUS",43.269,20.919,NA,NA,"[5,6)"
4801,1978-04-15,14,5.7,NA,"ITALY","ITALY:  SICILY",38.391,15.066,NA,NA,"[5,6)"
4802,1978-05-23,10,5.6,7,"GREECE","GREECE:  THESSALONIKI, VOLVI, LANGADAS",40.759,23.268,NA,NA,"[5,6)"
4806,1978-06-12,44,7.7,8,"JAPAN","JAPAN:  SANRIKU",38.19,142.028,10028,NA,"[7,8)"
6455,1978-06-14,24,6.9,NA,"PHILIPPINES","MINDANAO ISLAND, PHILIPPINES",8.249,122.403,NA,NA,"[6,7)"
4808,1978-06-20,3,6.4,8,"GREECE","GREECE: THESSALONIKI",40.739,23.229,NA,NA,"[6,7)"
6456,1978-07-23,17,7.4,NA,"TAIWAN","TAIWAN",22.282,121.512,NA,NA,"[7,8)"
4812,1978-08-03,58,7,9,"CHILE","CHILE:  NORTHERN:  COPIAPO-TALTAI",-26.51,-70.54,NA,NA,"[7,8)"
4813,1978-08-13,7,5.6,7,"USA","CALIFORNIA:  SOUTHERN",34.35,-119.7,NA,NA,"[5,6)"
4814,1978-09-03,8,5.3,8,"GERMANY","GERMANY",48.29,9.01,NA,NA,"[5,6)"
4815,1978-09-16,33,7.8,NA,"IRAN","IRAN:  TABAS",33.386,57.434,NA,NA,"[7,8)"
4818,1978-11-01,7,6.8,9,"UZBEKISTAN","UZBEKISTAN:   ANDIZHAN; TAJIKISTAN:  DUSHANBE",39.35,72.61,NA,NA,"[6,7)"
4819,1978-11-29,18,7.7,NA,"MEXICO","MEXICO:  OAXACA",16.01,-96.591,NA,NA,"[7,8)"
4820,1978-12-06,91,7.5,8,"RUSSIA","RUSSIA:  KURIL ISLANDS",44.592,146.581,NA,NA,"[7,8)"
4821,1978-12-14,33,6.2,NA,"IRAN","IRAN:  MASJED-E-SOLYEMAN",32.14,49.65,NA,NA,"[6,7)"
4824,1978-12-23,33,7,NA,"TAIWAN","TAIWAN:  PINTUNG",23.247,122.075,5,NA,"[7,8)"
4825,1979-01-16,33,6.8,NA,"IRAN","IRAN:  BONZANABAD",33.897,59.472,NA,NA,"[6,7)"
4827,1979-02-16,53,6.9,NA,"PERU","PERU:  AREQUIPA",-16.39,-72.658,NA,NA,"[6,7)"
6600,1979-02-20,10,6.4,NA,"JAPAN","IWATE, JAPAN",40.232,143.703,NA,NA,"[6,7)"
6457,1979-02-28,18,7.5,7,"USA","ALASKA",60.691,-141.671,NA,NA,"[7,8)"
4828,1979-03-14,49,7.6,NA,"MEXICO","MEXICO:  GUERRERO",17.813,-101.276,40,NA,"[7,8)"
7281,1979-04-09,10,5.3,NA,"SERBIA AND MONTENEGRO","MONTENEGRO: BAR ULCINJ",41.956,19.023,NA,NA,"[5,6)"
4830,1979-04-15,10,6.9,9,"SERBIA AND MONTENEGRO","BALKANS NW:  MONTENEGRO",42.096,19.209,1132,NA,"[6,7)"
7282,1979-05-15,33,5.6,NA,"GREECE","GREECE: CRETE",34.53,24.437,NA,NA,"[5,6)"
4832,1979-05-21,43,5.4,NA,"INDONESIA","INDONESIA:  BALI",-8.299,115.934,NA,NA,"[5,6)"
4833,1979-05-24,8,6.2,8,"MACEDONIA","BALKANS NW:  MACEDONIA:  DEBAR",42.255,18.752,NA,NA,"[6,7)"
4834,1979-05-30,25,5.8,NA,"INDONESIA","INDONESIA:  SUMBAWA ISLAND",-8.207,115.949,NA,NA,"[5,6)"
4836,1979-06-02,6,6.1,NA,"AUSTRALIA","AUSTRALIA:  WESTERN",-30.812,117.179,NA,NA,"[6,7)"
4837,1979-06-25,189,6.2,NA,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  E, MT HAGEN",-4.98,145.577,NA,NA,"[6,7)"
4838,1979-07-01,28,6.5,NA,"PANAMA","PANAMA-COSTA RICA:  PUERTO ARMUELLES",8.316,-82.943,NA,NA,"[6,7)"
4839,1979-07-09,11,5.4,8,"CHINA","CHINA:  JIANGSU PROVINCE:  LIYANG",31.452,119.241,3028,NA,"[5,6)"
4841,1979-08-24,33,5.9,NA,"CHINA","CHINA:  NEI MONGOL:  WU-YUAN",41.145,108.129,NA,NA,"[5,6)"
4842,1979-09-12,5,7.9,NA,"INDONESIA","INDONESIA:  NEW GUINEA:  IRIAN JAYA",-1.679,136.04,NA,NA,"[7,8)"
4844,1979-09-19,16,5.8,NA,"ITALY","ITALY:  CENTRAL:  UMBRIA",42.812,13.061,5005,NA,"[5,6)"
4846,1979-10-12,33,7.5,5,"NEW ZEALAND","NEW ZEALAND:  W OF NORTH ISLAND",-46.675,165.707,NA,NA,"[7,8)"
4847,1979-10-15,10,6.9,9,"USA","CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI",32.634,-115.324,NA,NA,"[6,7)"
4849,1979-10-20,38,6.2,NA,"INDONESIA","INDONESIA:  SUMBAWA ISLAND",-8.254,115.847,42,NA,"[6,7)"
4850,1979-10-27,58,6.8,NA,"GUATEMALA","GUATEMALA",13.833,-90.881,27,NA,"[6,7)"
4851,1979-11-02,62,6.1,NA,"INDONESIA","INDONESIA:  JAVA",-7.656,108.252,230,NA,"[6,7)"
4853,1979-11-06,40,5.2,8,"GREECE","GREECE-ALBANIA",39.536,20.398,4,NA,"[5,6)"
4854,1979-11-14,33,6.6,NA,"IRAN","IRAN:  KHORASAN",33.918,59.741,NA,NA,"[6,7)"
4856,1979-11-16,33,6.9,NA,"FIJI","FIJI ISLANDS",-16.76,-179.984,NA,NA,"[6,7)"
4858,1979-11-23,108,6.4,NA,"COLOMBIA","COLOMBIA:  MANIZALES-ARMENIA",4.805,-76.217,672,NA,"[6,7)"
4860,1979-11-27,10,7.5,5,"IRAN","IRAN",33.962,59.726,41,NA,"[7,8)"
4861,1979-12-07,33,6,NA,"IRAN","IRAN",34.033,59.817,NA,NA,"[6,7)"
