"LONGITUDE","LATITUDE","CAMERA.ID","TOTAL"
-87.812781431,42.011661765,1243,101
-87.812781431,42.011661765,1244,118
-87.807154769,41.945338412,1591,224
-87.807070326,41.945373358,1593,112
-87.806896749,41.938084468,1391,256
-87.806809552,41.938105479,1394,256
-87.795300781,41.923708193,1523,380
-87.795300781,41.923708193,1524,327
-87.788077674,41.997382173,1272,229
-87.788020406,41.97568567,1031,437
-87.787934296,41.975762574,1034,71
-87.787610243,41.997463981,1274,342
-87.786683238,41.953024751,1023,222
-87.786683238,41.953024751,1024,130
-87.785567206,41.923786189,1553,214
-87.785567206,41.923786189,1554,259
-87.776925284,41.953144059,1161,171
-87.776842593,41.953163772,1163,151
-87.776652162,41.945813215,1491,164
-87.776627421,41.945879676,1493,71
-87.776028612,41.931248624,1453,101
-87.776028612,41.931248624,1454,121
-87.767150151,41.953272751,1182,131
-87.767065708,41.953292847,1183,94
-87.766904594,41.945919491,1682,161
-87.766879952,41.945985104,1683,136
-87.766648297,41.938617463,1602,87
-87.766562494,41.938683775,1604,104
-87.766396529,41.931365552,1642,50
-87.766310532,41.931385977,1644,36
-87.766141214,41.924068922,1442,52
-87.76605353,41.924090199,1444,102
-87.765543258,41.894896579,1972,198
-87.765460791,41.894962293,1973,195
-87.765268498,41.887804621,1742,324
-87.765183663,41.887838735,1743,244
-87.756294662,41.924151874,1421,53
-87.756210755,41.924215797,1424,323
-87.755130433,41.880480752,2043,266
-87.755130433,41.880480752,2044,798
-87.75463824,41.96061723,1362,106
-87.754371424,41.960522088,1364,266
-87.748473024,41.989973915,1202,190
-87.748376951,41.990008007,1204,102
-87.747875985,41.968048007,1041,365
-87.747875985,41.968048007,1042,420
-87.747215169,41.946163524,1611,308
-87.747215169,41.946163524,1612,339
-87.746743301,41.931575608,1691,251
-87.746719911,41.93164142,1694,110
-87.74645019,41.92428359,1472,267
-87.74642764,41.924347036,1474,140
-87.746260223,41.916973325,2001,284
-87.746244973,41.90973389,2033,159
-87.746244973,41.90973389,2034,130
-87.746176095,41.917041992,2003,54
-87.745955516,41.895049038,1781,183
-87.745932427,41.895112219,1783,184
-87.745489247,41.88187971,1891,482
-87.745489247,41.88187971,1892,375
-87.745143869,41.873094833,2022,338
-87.745117179,41.873245464,2023,153
-87.743536712,41.816729387,2251,6546
-87.743536712,41.816729387,2252,524
-87.743296821,41.807530373,2202,85
-87.743229366,41.807727017,2204,540
-87.743071866,41.798558278,2081,1474
-87.743020541,41.798758208,2084,464
-87.740283894,41.968039361,1282,157
-87.739599251,41.968226398,1284,292
-87.736404667,41.909788304,2011,64
-87.736380296,41.909863573,2013,291
-87.73624887,41.91018141,2012,346
-87.735108549,41.865938839,2321,248
-87.73508956,41.866140868,2323,330
-87.734547457,41.848068845,2222,276
-87.734505969,41.847777523,2223,560
-87.728790748,41.990160923,1262,90
-87.728714391,41.990244186,1263,673
-87.728383135,41.97562074,1102,194
-87.728335469,41.975640616,1104,347
-87.728175316,41.968262595,1172,55
-87.728091672,41.968351285,1173,116
-87.727766612,41.953737051,1572,172
-87.727698513,41.953756874,1574,475
-87.72733371,41.939138154,1382,222
-87.727310134,41.93920375,1383,68
-87.727126873,41.931831026,1542,135
-87.72710503,41.931897723,1543,192
-87.726919111,41.924572574,1481,116
-87.726819268,41.924593022,1484,337
-87.726622746,41.917275069,1843,171
-87.726622746,41.917275069,1844,117
-87.726480523,41.90997501,1992,107
